danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.297,0.391,7,-13.545,0,0.0785,0.993,6.51e-05,0.358,0.321,131.361,183333,3
0.442,0.807,5,-4.502,1,0.043,0.623,0.0,0.471,0.914,151.999,113880,4
0.578,0.671,5,-8.767,1,0.0351,0.796,0.46,0.0985,0.867,137.328,131000,4
0.65,0.535,5,-13.325,1,0.0282,0.118,0.0,0.187,0.9,173.8,255293,4
0.534,0.199,3,-15.419,1,0.0685,0.991,0.0902,0.11,0.578,100.386,196043,4
0.563,0.891,4,-4.511,0,0.0397,0.0359,0.0,0.0915,0.332,141.965,226880,4
0.595,0.569,0,-7.931,1,0.0274,0.126,1.69e-06,0.21,0.385,82.944,247333,4
0.31,0.381,2,-9.362,0,0.0293,0.919,0.294,0.101,0.226,107.953,174600,4
0.239,0.00157,7,-42.488,0,0.0514,0.97,0.0,0.124,0.0638,94.32,50060,3
0.439,0.255,1,-12.635,1,0.0361,0.934,2.44e-06,0.0486,0.311,66.699,199240,3
0.174,0.272,5,-12.212,1,0.0304,0.314,0.139,0.0713,0.577,205.857,169520,3
0.226,0.981,7,-5.689,1,0.136,0.0282,0.0111,0.891,0.0377,141.697,340933,4
0.22,0.533,9,-11.888,1,0.0915,0.896,0.878,0.125,0.323,81.817,280067,4
0.731,0.854,7,-10.069,1,0.035,0.268,3.71e-06,0.338,0.961,121.401,201560,4
0.678,0.0983,9,-21.379,1,0.0462,0.783,0.00103,0.293,0.266,96.873,184187,4
0.658,0.701,2,-6.936,1,0.0291,0.19,0.0,0.0312,0.727,95.861,168373,4
0.516,0.419,10,-13.82,1,0.0276,0.508,0.00496,0.124,0.743,80.611,162000,4
0.534,0.0648,6,-18.247,1,0.0866,0.977,0.824,0.0841,0.0448,106.181,458293,4
0.739,0.709,7,-7.317,1,0.0726,0.0242,0.00335,0.0755,0.917,92.865,738400,4
0.69,0.426,9,-13.287,1,0.0514,0.193,1.91e-05,0.0429,0.618,93.751,264440,4
0.686,0.34,5,-17.449,1,0.0362,0.941,0.92,0.115,0.943,150.949,175240,4
0.576,0.205,5,-13.355,1,0.0422,0.452,4.34e-06,0.0547,0.378,110.75,273653,4
0.582,0.0453,8,-23.816,1,0.0477,0.99,0.757,0.121,0.0787,72.225,116093,3
0.399,0.965,6,-5.901,1,0.143,0.00442,0.0314,0.367,0.174,98.464,216427,4
0.81,0.166,7,-20.415,1,0.141,0.347,0.0792,0.097,0.349,119.563,151587,4
0.668,0.69,4,-7.794,1,0.0287,0.038,0.909,0.237,0.96,97.697,151813,4
0.63,0.161,2,-21.137,1,0.0324,0.673,3.26e-06,0.0801,0.346,136.775,248867,4
0.355,0.388,7,-9.606,0,0.0358,0.877,0.00126,0.0893,0.501,85.222,195427,4
0.579,0.402,1,-12.801,0,0.444,0.836,0.0,0.719,0.445,134.398,147000,3
0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4
0.77,0.646,10,-7.796,0,0.27,0.111,2.8e-06,0.307,0.694,74.977,334653,4
0.473,0.536,1,-8.517,1,0.0251,0.292,0.0,0.107,0.216,82.769,268373,4
0.775,0.673,1,-6.018,1,0.316,0.121,0.0,0.477,0.262,91.331,160173,4
0.686,0.428,1,-9.591,1,0.424,0.973,0.606,0.0833,0.844,88.601,195960,4
0.614,0.156,10,-13.0,0,0.0657,0.972,0.0,0.0925,0.347,119.14,156653,4
0.261,0.123,3,-18.387,1,0.0484,0.969,0.0322,0.168,0.179,172.424,181560,5
0.526,0.645,10,-16.459,1,0.0707,0.71,4.14e-06,0.555,0.865,150.437,243860,4
0.623,0.303,5,-19.117,1,0.0366,0.951,0.948,0.135,0.772,100.386,127973,4
0.851,0.566,1,-9.622,1,0.352,0.00621,0.000744,0.0595,0.517,170.034,166027,4
0.764,0.875,11,-4.27,1,0.273,0.0432,0.0,0.236,0.573,98.565,217600,4
0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,211666,4
0.294,0.648,7,-8.597,1,0.0815,0.627,9.53e-06,0.723,0.522,129.213,221493,4
0.408,0.212,7,-22.928,1,0.0375,0.779,0.945,0.226,0.559,133.004,287933,4
0.471,0.579,0,-12.62,1,0.0278,0.123,0.68,0.429,0.386,93.206,259360,4
0.517,0.271,6,-12.123,0,0.0361,0.992,0.15,0.156,0.783,107.837,216280,4
0.512,0.512,5,-9.749,1,0.0342,0.871,0.78,0.164,0.752,113.574,185467,4
0.565,0.279,1,-10.308,1,0.0375,0.683,0.18,0.113,0.581,176.702,165427,3
0.257,0.841,9,-10.1,1,0.0773,0.445,0.0985,0.841,0.633,195.138,257334,4
0.738,0.354,0,-9.849,1,0.463,0.336,0.0,0.186,0.645,77.898,146573,3
0.158,0.27,4,-13.391,1,0.0366,0.218,0.83,0.0729,0.0373,132.188,441333,3
0.609,0.238,8,-17.017,1,0.074,0.983,0.0,0.297,0.804,98.165,147813,3
0.559,0.293,2,-16.361,1,0.0294,0.994,0.848,0.112,0.748,91.71,202373,4
0.704,0.217,7,-19.628,1,0.544,0.166,0.0,0.139,0.354,112.553,124200,3
0.406,0.517,7,-7.182,1,0.0245,0.421,0.0,0.123,0.388,153.732,240800,4
0.492,0.679,9,-8.631,1,0.0364,0.63,0.0,0.261,0.799,129.229,261573,4
0.529,0.891,4,-5.029,1,0.0932,0.276,0.0,0.0973,0.533,104.055,212227,4
0.44,0.399,7,-9.593,1,0.0419,0.885,0.0,0.39,0.756,174.314,165067,4
0.795,0.379,6,-13.108,0,0.0354,0.701,0.00299,0.103,0.714,131.984,161107,4
